comp_id,name,mw,smiles,total_atoms
THEO_0346173,MERCURIC CHLORIDE,271.91,Cl[Hg]Cl,3
THEO_0675347,,292.96,Cl[223Ra]Cl,3
THEO_0570095,7726-95-6,157.84,BrBr,2
THEO_1052452,Hydroxide,17.0,[OH-],2
THEO_0628184,7440-25-7,180.95,[Ta],1
THEO_1052916,Cyanate,42.0,[O-]C#N,3
THEO_1052839,Superoxide,31.99,[O][O-],2
THEO_0832973,7440-19-9,151.92,[Sm],1
THEO_0096145,MERCURIC IODIDE,455.78,I[Hg]I,3
THEO_1071255,Potassium iodide,165.87,[K+].[I-],2
THEO_0675679,CUPRIC CHLORIDE,132.87,Cl[Cu]Cl,3
THEO_0658626,iodane,123.91,[123IH],2
THEO_0359805,7440-32-6,47.95,[Ti],1
THEO_0901819,Chlorite,66.96,[O-]Cl=O,3
THEO_1052915,Chlorite,66.96,[O-][Cl]=O,3
THEO_0374377,Trioxirane,47.98,o1oo1,3
THEO_0127346,7440-30-4,168.93,[Tm],1
THEO_1052674,Bromide,78.92,[Br-],1
THEO_0469781,,54.94,[Mn+4],1
THEO_0025680,,45.99,O=N[O-],3
THEO_1052454,Hypochlorite,50.96,[O-]Cl,2
THEO_0622466,Cuprouschloride,97.9,[Cl-].[Cu+],2
THEO_0638332,RUBIDIUM CHLORIDE,119.88,[Cl-].[Rb+],2
THEO_1071844,Zinc oxide,79.92,[O--].[Zn++],2
THEO_1071199,Manganese oxide (MnO),70.93,[O--].[Mn++],2
THEO_0266986,Potassium bromide (KBr),117.88,[K]Br,2
THEO_0040464,"Water, sterile filtered",18.01,O,3
THEO_0865154,sylvite,73.93,[Cl-].[K+],2
THEO_0018030,Cadmium ion,113.9,[Cd+2],1
THEO_1071151,Sodium hypochlorite,73.95,[Na+].[O-]Cl,3
THEO_1071159,Magnesium oxide (MgO),39.98,[O--].[Mg++],2
THEO_1053401,Gellan gum,130.91,[TeH+],2
THEO_1071166,Sodium hydroxide (NaOH),39.99,[OH-].[Na+],3
THEO_0449274,7439-88-5,192.96,[Ir],1
THEO_0006415,,57.98,N#C[S-],3
THEO_0912623,Sodium chloride,57.96,[Na+].[Cl-],2
THEO_0453288,,107.9,S=[AsH],3
THEO_0463851,Iodocopper,189.83,[Cu]I,2
THEO_0890668,,26.0,[C-]#N,2
THEO_0607081,Manganese(2+),54.94,[Mn+2],1
THEO_0909913,Glucine,25.01,[Be]=O,2
THEO_0715865,Silica,59.97,O=[Si]=O,3
THEO_0047889,MERCURY(I) IODIDE,328.88,I[Hg],2
